index,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts/b_avg,fwd_pkts/b_avg,fwd_blk_rate_avg,bwd_byts/b_avg,bwd_pkts/b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
2984,139,6,5990173,3,2,18,5,18,0,6.0,10.39230485,5,0,2.5,3.535533906,3.839621994,0.834700434,1497543.25,2994468.523,5989246,36,5990137,2995068.5,4234406.429,5989246,891,5990114,5990114.0,0.0,5990114,5990114,0,0,0,0,72,52,0.50082026,0.333880173,0,18,3.833333333,7.22264956,52.16666667,0,0,1,1,0,0,0,1,0,4.6,6.0,2.5,0,0,0,0,0,0,3,18,2,5,8192,280,1,20,891.0,0.0,891,891,5989246.0,0.0,5989246,5989246
3018,443,6,21538669,6,8,677,3695,388,0,112.8333333,155.7053842,1460,0,461.875,652.749446,202.9837591,0.649993739,1656820.692,5906293.861,21300000,0,142196,28439.2,25273.4651,47639,372,21500000,3070459.857,8044683.259,21300000,0,0,0,0,0,132,172,0.278568745,0.371424994,0,1460,291.4666667,507.9734058,258036.981,0,0,1,1,0,0,0,1,1,312.2857143,112.8333333,461.875,0,0,0,0,0,0,6,677,8,3695,8192,7515,3,20,224728.0,0.0,224728,224728,21300000.0,0.0,21300000,21300000
3031,443,6,116201313,22,19,1163,4074,429,0,52.86363636,129.2797982,1380,0,214.4210526,454.0577932,45.06833757,0.352835944,2905032.825,4505900.651,10000000,1,116000000,5533395.857,4960304.399,10000000,30,111000000,6150916.444,5004725.344,10000000,1,0,0,0,0,452,388,0.189326604,0.16350934,0,1380,124.6904762,325.5029495,105952.1702,0,0,1,1,0,0,0,1,0,127.7317073,52.86363636,214.4210526,0,0,0,0,0,0,22,1163,19,4074,8192,5261,16,20,63791.5,127818.9039,469668,26440,9619648.75,1310722.773,10000000,5457992
3038,443,6,115410065,30,60,2430,59780,824,0,81.0,212.5704751,1460,0,996.3333333,655.4055457,539.0344421,0.779827999,1296742.303,3330491.929,10000000,0,115000000,3979657.414,4887702.057,10000000,14,110000000,1871873.525,3932599.49,10000000,0,0,0,0,0,612,1344,0.259942666,0.519885332,0,1460,683.6263736,698.2793877,487594.1033,0,0,1,1,0,0,0,1,2,691.2222222,81.0,996.3333333,0,0,0,0,0,0,30,2430,60,59780,8192,1101,17,20,34725.90909,76703.34062,265934,10705,10000000.0,2953.343815,10000000,10000000
3059,80,6,115235423,16,14,449,788,438,0,28.0625,109.3175611,788,0,56.28571429,210.6018586,10.73454644,0.260336615,3973635.276,4881468.805,10000000,16,115000000,7682361.533,4160438.18,10000000,177,110000000,8476096.231,3759148.252,10000000,233,0,0,0,0,332,424,0.138846195,0.121490421,0,788,39.90322581,159.524158,25447.95699,0,0,1,1,0,0,0,1,0,41.23333333,28.0625,56.28571429,0,0,0,0,0,0,16,449,14,788,8192,288,12,20,18208.36364,21096.30135,81794,11283,9998877.091,15279.5132,10000000,9952838
3085,443,6,118193994,21,16,1638,8420,271,0,78.0,94.96367727,1460,0,526.25,626.0134716,85.09738659,0.313044671,3283166.5,13500000.0,58500000,0,118000000,5909699.7,17900000.0,58500000,28,118000000,7874482.6,20500000.0,58600000,0,0,0,0,0,432,332,0.177674003,0.135370669,0,1460,264.6842105,463.6911312,215009.4651,0,0,1,1,0,0,0,1,0,271.8378378,78.0,526.25,0,0,0,0,0,0,21,1638,16,8420,8192,173,11,20,825152.0,1056711.688,1572360,77944,58200000.0,375720.4811,58500000,58000000
3103,52477,6,1,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,70,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
3106,443,6,117018699,15,17,1226,4996,576,0,81.73333333,151.4116747,1430,0,293.8823529,461.474252,53.17098936,0.273460569,3774796.742,14600000.0,58800000,0,117000000,8358478.5,21200000.0,58800000,25,117000000,7309766.188,19900000.0,58800000,0,0,0,0,0,312,352,0.128184642,0.145275927,0,1430,188.5454545,358.9744151,128862.6307,0,0,1,1,0,0,0,1,1,194.4375,81.73333333,293.8823529,0,0,0,0,0,0,15,1226,17,4996,8192,180,8,20,110807.5,68592.89331,159310,62305,58400000.0,543787.035,58800000,58000000
3110,443,6,116382103,14,15,847,7914,249,0,60.5,85.76152087,1460,0,527.6,681.9635307,75.27789732,0.249179206,4156503.679,15200000.0,58200000,0,116000000,8952469.462,21800000.0,58200000,73,116000000,8308553.714,21100000.0,58200000,0,0,0,0,0,292,312,0.12029341,0.128885796,0,1460,292.0333333,534.170997,285338.654,0,0,1,1,0,0,0,1,1,302.1034483,60.5,527.6,0,0,0,0,0,0,14,847,15,7914,8192,64,7,20,83855.0,30614.8952,105503,62207,58100000.0,131682.3745,58200000,58000000
3122,443,6,117089511,15,16,1253,5514,603,0,83.53333333,157.7357042,1430,0,344.625,550.3373359,57.79339193,0.264754714,3902983.7,14800000.0,58500000,0,117000000,8363536.5,21200000.0,58500000,26,117000000,7801788.333,20600000.0,58600000,0,0,0,0,0,312,332,0.12810712,0.136647594,0,1430,211.46875,419.8815489,176300.5151,0,0,1,1,0,0,0,1,1,218.2903226,83.53333333,344.625,0,0,0,0,0,0,15,1253,16,5514,8192,181,8,20,109330.5,66458.84504,156324,62337,58400000.0,155321.6613,58500000,58300000
3124,443,6,21044399,6,8,704,3695,383,0,117.3333333,157.9362741,1460,0,461.875,652.749446,209.0342423,0.665260148,1618799.923,5772019.552,20800000,1,145790,29158.0,25921.29865,49460,260,21000000,2999503.857,7862145.605,20800000,1,0,0,0,0,132,172,0.285111492,0.380148656,0,1460,293.2666667,507.5461227,257603.0667,0,0,1,1,0,0,0,1,1,314.2142857,117.3333333,461.875,0,0,0,0,0,0,6,704,8,3695,8192,7488,3,20,215143.0,0.0,215143,215143,20800000.0,0.0,20800000,20800000
3170,443,6,19314166,6,8,718,3695,388,0,119.6666667,160.8983116,1460,0,461.875,652.749446,228.485144,0.724856564,1485705.077,5314267.112,19200000,1,69986,13997.2,12160.56539,23646,271,19300000,2756107.286,7239005.713,19200000,1,0,0,0,0,132,172,0.310652813,0.414203751,0,1460,294.2,507.5331376,257589.8857,0,0,1,1,0,0,0,1,1,315.2142857,119.6666667,461.875,0,0,0,0,0,0,6,718,8,3695,8192,7474,3,20,141620.0,0.0,141620,141620,19200000.0,0.0,19200000,19200000
3177,0,0,116891085,66,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.564628175,1798324.385,2750620.841,18300000,75400,117000000,1798324.385,2750620.841,18300000,75400,0,0.0,0.0,0,0,0,0,0,0,0,0,0.564628175,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,66,0,0,0,-1,-1,0,0,36900000.0,36900000.0,63000000,10800000,12800000.0,4949910.279,18300000,8672005
3183,443,6,5353897,11,12,2008,4427,1078,0,182.5454545,315.1251699,1460,0,368.9166667,539.6978041,1201.92824,4.295936212,243358.9545,1077128.721,5065019,1,288614,28861.4,31413.02416,87861,47,5307376,482488.7273,1533277.002,5104949,1,0,0,0,0,232,252,2.054578189,2.241358024,0,1460,268.125,440.9185385,194409.1576,0,0,1,1,0,0,0,1,1,279.7826087,182.5454545,368.9166667,0,0,0,0,0,0,11,2008,12,4427,8192,8002,6,20,288614.0,0.0,288614,288614,5065019.0,0.0,5065019,5065019
3197,443,6,20912896,6,8,708,3695,387,0,118.0,159.2846509,1460,0,461.875,652.749446,210.5399463,0.66944339,1608684.308,5709333.745,20600000,4,226293,45258.6,53826.33402,132654,291,20900000,2981184.857,7773742.607,20600000,4,0,0,0,0,132,172,0.28690431,0.38253908,0,1460,293.5333333,507.5976847,257655.4095,0,0,1,1,0,0,0,1,1,314.5,118.0,461.875,0,0,0,0,0,0,6,708,8,3695,8192,7484,3,20,302618.0,0.0,302618,302618,20600000.0,0.0,20600000,20600000
3228,443,6,11746166,6,8,676,3695,387,0,112.6666667,155.3520733,1460,0,461.875,652.749446,372.1214224,1.191878269,903551.2308,3195074.073,11500000,1,140076,28015.2,24918.14603,47239,352,11700000,1671645.429,4350339.552,11500000,1,0,0,0,0,132,172,0.510804972,0.681073297,0,1460,291.4,507.9598972,258023.2571,0,0,1,1,0,0,0,1,1,312.2142857,112.6666667,461.875,0,0,0,0,0,0,6,676,8,3695,8192,7516,3,20,208843.0,0.0,208843,208843,11500000.0,0.0,11500000,11500000
